latitude,longitude,population
42.923946,-70.88666,1896
44.086488,-71.13865,980
44.166268,-71.18089,819
42.923643,-71.06236,5862
43.930805,-71.14311,1552
43.500126,-70.96931,397
43.642398,-71.28614,559
43.068338,-70.72353,1009
43.443682,-71.14628,2219
43.03833,-70.95076,1551
43.072738,-70.94336,8027
42.871322,-71.04807,4289
44.035684,-71.13084,3663
42.97778,-70.83055,4259
43.672636,-71.10266,2149
42.837189,-71.09445,7747
43.304163,-70.99816,23103
43.340581,-70.96311,5132
43.221234,-70.83207,2433
43.000003,-70.76517,5182
43.564008,-71.03405,2861
42.929588,-71.18444,5206
42.88439,-70.85466,8046
43.868287,-71.18267,488
43.253783,-70.87549,11510
43.721239,-71.00006,157
43.828696,-71.32104,239
43.257919,-71.17701,1920
43.015756,-70.90192,6355
43.857079,-71.25988,1793
43.448064,-71.02823,4267
43.596233,-71.19552,6098
43.908738,-71.34507,66
43.29016,-70.84559,6337
43.216251,-70.62856,2018
43.135435,-70.79348,5954
43.101538,-70.73611,7660
43.08512,-70.69607,1883
43.327517,-70.7646,4334
43.247931,-70.59952,1226
43.234782,-70.77876,6687
43.159537,-70.65239,10836
43.548123,-70.93189,2143
43.490939,-70.6884,6251
43.730791,-69.99448,412
43.480704,-70.45871,21995
44.023057,-69.88369,2627
44.059192,-70.72552,4883
43.938741,-70.90049,1229
43.8992,-69.95894,21172
43.952597,-70.51377,3517
43.736628,-70.11522,340
43.696875,-70.09448,100
43.773606,-70.80878,1287
43.798251,-70.26554,5648
43.969,-70.78804,1030
43.823849,-70.68482,503
43.403349,-70.91719,5101
43.887356,-70.67755,1502
43.585861,-70.6793,1513
43.843778,-70.10172,7850
44.050856,-70.95648,3268
43.697118,-70.46301,15976
43.879576,-70.3533,6407
44.103892,-70.65327,2315
43.871738,-70.83391,1418
43.611238,-70.63265,4087
43.38551,-70.54707,10494
43.399494,-70.4769,7291
43.755002,-70.8983,1575
43.682791,-70.77178,2247
43.733814,-70.70263,3342
43.692683,-70.15475,201
44.172276,-70.87231,1367
43.959974,-70.60312,3226
43.643195,-70.73033,2836
43.810673,-70.41697,14904
43.514864,-70.3856,8806
43.763403,-69.97038,652
43.833831,-70.93094,1443
43.912616,-70.17893,1430
43.917206,-70.47233,4712
43.527322,-70.45171,19143
